Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned
it was really a excellent design with proper effort,proper effort/excellent design/effort/really/excellent,proper effort/excellent design/really,excellent design,excellent design
I don?t like the color or the lines in the body of the card,like the color/like/card/color/lines,like the color/card/lines,lines/color,lines/color
"Love the design, bold, unique, that said, I am more interested in the credit limit, low APR, and rewards/cash. The Citi card I have now I use as one of my main cards and I have a high credit limit, a low APR (5.99%) and cash back, I have had it for many years",low apr/credit limit/high credit limit/apr/bold,low apr/high credit limit/bold,many years/main cards/citi card/low apr/credit,many years/main cards/citi card/low apr/credit
Very attracted,attracted,attracted,,
sort of iffy design above citi,iffy design/sort/citi/sort of iffy/design above citi,iffy design/sort of iffy/design above citi,iffy,iffy
"Not pretty, but that is not very important to me",pretty/important,pretty/important,,
"Elaborate and innovative design, it's beautiful .",innovative design/beautiful/elaborate/design/elaborate and innovative,innovative design/beautiful/elaborate and innovative,innovative design,innovative design
Eye catching,eye catching/eye/catching,eye catching,,
I like it,like,like,,
Like it,like,like,,
I love this. The bright green makes it pop and makes me feel like money.,feel like money/love/like money/makes/bright green,feel like money/love/makes/bright green,bright,bright
stands out noticeable,stands/noticeable/stands out noticeable,stands out noticeable,,
Nome,nome,nome,,
"kind of blah,nothing special",nothing special/kind/blah/nothing/special,nothing special/kind/blah,blah,blah
simple but looks premium,looks premium/simple/premium/simple but looks/looks,looks premium/simple but looks,simple,simple
The same...indifferent. The only change I see is the color,indifferent/color/change/see,indifferent/color/change/see,only change,only change
I think it is more likeable and more interesting than the previous one with the green color of the arc it's more favorable and looks unique and lovely .,previous one/green color/arc/think/likeable,previous one/green color/arc/think/likeable,green color/previous one/likeable,green color/previous one/likeable
Pretty sharp looking and simple,pretty sharp looking/pretty sharp/sharp looking/pretty/simple,pretty sharp looking/simple,sharp,sharp
"It is similar tothe previous design, besides the pop of green. That is eye catching.",tothe previous design/similar tothe previous/previous design/similar tothe/tothe previous,tothe previous design/similar tothe previous,previous design/similar,previous design/similar
It's a very good looking card,good looking card/looking card/good looking/card/good,good looking card,looking,looking
The fact that I can choose my colors is appealing to,fact/choose/colors/appealing/choose my colors,fact/appealing/choose my colors,fact,fact
It is bright and colorful,colorful/bright and colorful/bright,bright and colorful,bright,bright
"OK, color is nice",color/nice/color is nice,color is nice,color,color
It looks different,looks different/different/looks,looks different,,
"I love it! I like the segment graphic technique and personally, green is my favorite color. I also like the chrome hologram being extended over to the Mastercard logo. I prefer the version with the green border, as it's much more distictive.",segment graphic technique/mastercard logo/favorite color/love/like,segment graphic technique/mastercard logo/favorite color/love/like,chrome hologram/favorite color/graphic/green,chrome hologram/favorite color/graphic/green
dont really know,really know/know/really,really know,,
This is a beautiful card! Looks very trendy and space-age; one of the best designed cards i have ever seen.,beautiful card/age/card/beautiful/ever seen,beautiful card/age/ever seen,beautiful card/trendy,beautiful card/trendy
The design is amazing to see and its beautiful.,beautiful/design/amazing/see/design is amazing,beautiful/see/design is amazing,design,design
interesting design,interesting design/interesting/design,interesting design,interesting,interesting
"Too Dark. Even with the white lettering, it makes me uncomfortable.",dark/white lettering/even/lettering/uncomfortable,dark/white lettering/even/uncomfortable,too dark,too dark
This design also very nice and attractive. The color combination of this design is very amazing and very favorable to me. This design creates more interest in Citi I think it will be very comfortable for me.,design also/design/attractive/also/nice,design also/attractive/nice,more interest/color combination/design,more interest/color combination/design
It's really attractive.,really attractive/really/attractive,really attractive,,
Good looking,good looking/good/looking,good looking,,
Really nice look and stands out,really nice look/really nice/nice look/really/nice,really nice look,nice,nice
I like it with the blue circle,blue circle/circle/like/blue,blue circle/like,blue,blue
i think it is very favourable to me and it is very helpfull to me and it fits my need very well.,think/favourable/well/helpfull/fits,think/favourable/well/helpfull/fits,favourable,favourable
very like it desing.,desing/like it desing/like,like it desing,,
"It's kind of 3-D with all the lines going every which way.  Looks prestigious.  I like the mastercard local, looks classy.",lines going every/lines going/going every/3-d/kind of 3-d,lines going every/kind of 3-d,mastercard local/lines,mastercard local/lines
"Simple, nice layout",nice layout/simple/nice/layout,nice layout/simple,nice,nice
like color,like color/like/color,like color,,
Looks unique,looks unique/looks/unique,looks unique,,
Very unique,unique,unique,,
I like the lime green in the arc and throughout the lines on the card. very eye catching,lime green/throughout the lines/card/eye catching/like,lime green/throughout the lines/card/eye catching/like,lime green/arc,lime green/arc
This design is unique,unique/design is unique/design,design is unique,design,design
"This one is even better.  I really like the blue, but green is one of my very favorite colors.   And, it is the color of money.",even better/better/one/favorite colors/even,even better/one/favorite colors,favorite colors/better/one,favorite colors/better/one
Reminds me of the matrix . It?s cool looking . I?m not big on green .,reminds/matrix/cool looking/cool/looking,reminds/matrix/cool looking,cool/it?s,cool/it?s
It doesn't get my attention,get/attention/get my attention,get my attention,,
It's nice in color and design,nice/design/nice in color/color and design/color,nice in color/color and design,nice,nice
superb,superb,superb,,
Unique and I like it.,unique/like,unique/like,,
very nice design card,nice design card/design card/nice design/card/nice,nice design card,design,design
I like the idea of being able to personalize it,like/idea/able/personalize/like the idea,able/personalize/like the idea,idea,idea
Same as the other one,one,one,same,same
The card is simple and attractive.,attractive/simple and attractive/card/simple/card is simple,simple and attractive/card is simple,card,card
I like the design,design/like the design/like,like the design,,
very easy to use,use/easy to use/easy,easy to use,,
It's not bad,bad,bad,,
looking so branded,looking/branded/looking so branded,looking so branded,,
"Love it. Love the colors, the design. It's really spiffy looking.",love/colors/design/really spiffy looking/really,love/colors/design/really spiffy looking,colors,colors
Like the green,like/green/like the green,like the green,,
Very innovative and futuristic,futuristic/innovative and futuristic/innovative,innovative and futuristic,innovative,innovative
looks like every other credit card,looks like every/looks like/credit card/like every/looks,looks like every/credit card,credit,credit
Same Boring,boring,boring,same,same
It's ok.  Not much else.,much else/else/much,much else,,
I think this design is perfect.  It evokes citi while bringing a futuristic active usage feel and the colors mesh perfectly.,perfect/design is perfect/think/design/mesh perfectly,design is perfect/think/mesh perfectly,futuristic active usage feel,futuristic active usage feel
looks very sleek,looks/sleek/looks very sleek,looks very sleek,,
Sleek,sleek,sleek,,
I like the green,green/like the green/like,like the green,,
"The card is nice, the bright green makes the dark green pop",dark green pop/bright green makes/green pop/bright green/green makes,dark green pop/bright green makes,dark green/bright green,dark green/bright green
different and new design with high end colors,high end colors/end colors/new design/high end/different,high end colors/new design/different,new design/end,new design/end
indifference,indifference,indifference,,
It?s ok,None,None,,
I like the green on it,like/green/like the green,like the green,,
Its very simple and appealing.,appealing/simple and appealing/simple,simple and appealing,simple,simple
I like this design a little better.  It looks different different from all my other credit cards,little better/better/like/design/little,little better/like/design,other credit cards,other credit cards
VERY CLASSY THE GREEN FTS JUST AS WELL AS THE OTHER,green fts/classy/well/fts/green,green fts/classy/well,green fts,green fts
This design is awesome,awesome/design is awesome/design,design is awesome,design,design
don't associate green with citi,associate green/associate/citi/green with citi/green,associate green/green with citi,green,green
"It is a very different and interesting design, but I do not care for the green color.  I would rather pick my own color, not green.",interesting design/color/green color/design/green,interesting design/green color,interesting design/color,interesting design/color
nice modern futuristic look,nice modern futuristic/modern futuristic look/nice modern/futuristic look/modern futuristic,nice modern futuristic/modern futuristic look,modern futuristic,modern futuristic
So plain.  Nothing stand out,plain/nothing stand/nothing/stand,plain/nothing stand,,
"I like the design, I don?t care for the lighter shade of green.",lighter shade/design/care/green/like the design,lighter shade/care/green/like the design,lighter shade,lighter shade
